image_path,predicted_face_shape,hairstyle
data\dreadlocks\1200px-Man_with_dreadlocks.jpg,Oblong,dreadlocks
data\dreadlocks\1576082765n8k4g.jpg,Oval,dreadlocks
data\dreadlocks\1576084878g8k4n-700x858.jpg,Oval,dreadlocks
data\dreadlocks\17-short-dreadlocks-with-edge-undercut.jpg,Square,dreadlocks
data\dreadlocks\19-long-hair-locs-with-square-parting-CEDQMZjJnZV.jpg,Oval,dreadlocks
data\dreadlocks\1c4695aaca4464bf97aa1d4b885009634.jpg,Square,dreadlocks
data\dreadlocks\1_600x600_crop_center.jpg,Heart,dreadlocks
data\dreadlocks\21eb2f6ecfc7526cab5d8619484390a94.jpg,Oblong,dreadlocks
data\dreadlocks\5-loc-style-for-women-CUXCgKxK4jW.jpg,Heart,dreadlocks
data\dreadlocks\51AWKUH9PL.jpg,Round,dreadlocks
data\dreadlocks\534050bea3310063e7c8e2cb889799814.jpg,Oblong,dreadlocks
data\dreadlocks\551a485e4fbe7d0d0df868bd520277b4.jpg,Oblong,dreadlocks
data\dreadlocks\567222c5f2251f660d283d803845d1fc.jpg,Square,dreadlocks
data\dreadlocks\58baa8efdf105f1591f34dd7299538294.jpg,Square,dreadlocks
data\dreadlocks\6-86391-dreadlocks-maennerperuecke.jpg,Square,dreadlocks
data\dreadlocks\64df6f2ed2f888dbd97cdd51006da308.jpg,Heart,dreadlocks
data\dreadlocks\7-short-dreadlocks-with-undercut-1.jpg,Oval,dreadlocks
data\dreadlocks\7acd0254d2e02b4a7abd3e172470b83c4.jpg,Oblong,dreadlocks
data\dreadlocks\7e27727cf25c89b9da062cf8dbcf373b4.jpg,Oblong,dreadlocks
data\dreadlocks\81ed4e2f4c50f72c1b97831b0f438c734.jpg,Heart,dreadlocks
data\dreadlocks\826071080adf98dc66112bfb8d04038a4.png,Oblong,dreadlocks
data\dreadlocks\874dd0c2a9fa80487d1b4e68122851bf.jpg,Oval,dreadlocks
data\dreadlocks\891fa3403fe119c599ce620bba3690e54.jpg,Round,dreadlocks
data\dreadlocks\9-classy-twisted-dreadlock-pony-Ck8oPkjuBVG.jpg,Oval,dreadlocks
data\dreadlocks\93157e70db3aa9159f4ca837bcfc90a24.png,Round,dreadlocks
data\dreadlocks\9e97f7d8c1c66037d83b700e66f190e4.jpg,Round,dreadlocks
data\dreadlocks\a5cccdd347ccc2c63cb2bfa782b193644.jpg,Oblong,dreadlocks
data\dreadlocks\amari-allen-01-wjla-jef-190926_hpMain_4x5_992.jpg,Round,dreadlocks
data\dreadlocks\banner-4.jpg,Oval,dreadlocks
data\dreadlocks\best-hair-color-for-dreadlocks-1.jpg,Oval,dreadlocks
data\dreadlocks\black-man-dreadlocks-8093692.jpg,Oblong,dreadlocks
data\dreadlocks\black-woman-with-dreadlocks-at-brick-wall-F6R2B1.jpg,Oblong,dreadlocks
data\dreadlocks\bldjg0110311.jpg,Oblong,dreadlocks
data\dreadlocks\Blogpost_16.jpg,Oblong,dreadlocks
data\dreadlocks\c314ec2c96c6447aad76d66d9fa47ce0.jpg,Oval,dreadlocks
data\dreadlocks\Comparison_2048x2048.JPG.jpg,Oblong,dreadlocks
data\dreadlocks\deff3a88b04ee057a218bfd3e89a39e64.jpg,Oblong,dreadlocks
data\dreadlocks\Depositphotos_26946423_l-2015.jpg,Oblong,dreadlocks
data\dreadlocks\Dreadlocks-Hair_1024x1024.jpg,Round,dreadlocks
data\dreadlocks\Dreadlocks-maintenance-Perth.jpeg,Oval,dreadlocks
data\dreadlocks\dreadlocks-styles-for-ladies.jpg,Heart,dreadlocks
data\dreadlocks\Dreadlocks-Styles.jpg,Oval,dreadlocks
data\dreadlocks\dreadlocks2.png,Round,dreadlocks
data\dreadlocks\dreadlocks3.png,Oval,dreadlocks
data\dreadlocks\dreadlocks4.jpg,Oblong,dreadlocks
data\dreadlocks\Dreads-enfant-black-1024x1024.jpg,Oval,dreadlocks
data\dreadlocks\eb4400d75fa458402ce4d9a643d3a32b4.jpg,Round,dreadlocks
data\dreadlocks\fb8bbfb130a3ec23982a5a3a31b8f9a5.jpg,Oval,dreadlocks
data\dreadlocks\front-page-dreadful_500x.jpg,Heart,dreadlocks
data\dreadlocks\headlock-india-kalyani-nagar-pune-hair-stylists-qdt97u67g3.jpg,Oval,dreadlocks
data\dreadlocks\how-to-start-dreadlocks.jpg,Oblong,dreadlocks
data\dreadlocks\image.jpg,Oval,dreadlocks
data\dreadlocks\image10.jpg,Round,dreadlocks
data\dreadlocks\image102.jpg,Oblong,dreadlocks
data\dreadlocks\image103.jpg,Oval,dreadlocks
data\dreadlocks\image104.jpg,Oblong,dreadlocks
data\dreadlocks\image105.jpg,Oblong,dreadlocks
data\dreadlocks\image106.jpg,Square,dreadlocks
data\dreadlocks\image107.jpg,Oval,dreadlocks
data\dreadlocks\image108.jpg,Oval,dreadlocks
data\dreadlocks\image109.jpg,Oblong,dreadlocks
data\dreadlocks\image11.jpg,Square,dreadlocks
data\dreadlocks\image110.jpg,Round,dreadlocks
data\dreadlocks\image111.jpg,Oval,dreadlocks
data\dreadlocks\image112.jpg,Oblong,dreadlocks
data\dreadlocks\image113.jpg,Oblong,dreadlocks
data\dreadlocks\image114.jpg,Heart,dreadlocks
data\dreadlocks\image115.jpg,Square,dreadlocks
data\dreadlocks\image116.jpg,Oval,dreadlocks
data\dreadlocks\image118.jpg,Oblong,dreadlocks
data\dreadlocks\image120.jpg,Oblong,dreadlocks
data\dreadlocks\image121.jpg,Heart,dreadlocks
data\dreadlocks\image122.jpg,Oval,dreadlocks
data\dreadlocks\image123.jpg,Oblong,dreadlocks
data\dreadlocks\image125.jpg,Heart,dreadlocks
data\dreadlocks\image126.jpg,Oblong,dreadlocks
data\dreadlocks\image127.jpg,Oblong,dreadlocks
data\dreadlocks\image128.jpg,Oblong,dreadlocks
data\dreadlocks\image129.jpg,Oblong,dreadlocks
data\dreadlocks\image13.jpg,Heart,dreadlocks
data\dreadlocks\image130.jpg,Heart,dreadlocks
data\dreadlocks\image131.jpg,Heart,dreadlocks
data\dreadlocks\image132.jpg,Oval,dreadlocks
data\dreadlocks\image133.jpg,Heart,dreadlocks
data\dreadlocks\image136.jpg,Oval,dreadlocks
data\dreadlocks\image138.jpg,Oval,dreadlocks
data\dreadlocks\image139.jpg,Heart,dreadlocks
data\dreadlocks\image141.jpg,Oblong,dreadlocks
data\dreadlocks\image142.jpg,Heart,dreadlocks
data\dreadlocks\image144.jpg,Oblong,dreadlocks
data\dreadlocks\image146.jpg,Heart,dreadlocks
data\dreadlocks\image147.jpg,Oblong,dreadlocks
data\dreadlocks\image148.jpg,Oval,dreadlocks
data\dreadlocks\image149.jpg,Heart,dreadlocks
data\dreadlocks\image15.jpg,Oval,dreadlocks
data\dreadlocks\image150.jpg,Oblong,dreadlocks
data\dreadlocks\image152.jpg,Oblong,dreadlocks
data\dreadlocks\image153.jpg,Square,dreadlocks
data\dreadlocks\image154.jpg,Oblong,dreadlocks
data\dreadlocks\image155.jpg,Oblong,dreadlocks
data\dreadlocks\image156.jpg,Square,dreadlocks
data\dreadlocks\image157.jpg,Heart,dreadlocks
data\dreadlocks\image158.jpg,Oval,dreadlocks
data\dreadlocks\image159.jpg,Round,dreadlocks
data\dreadlocks\image16.jpg,Oblong,dreadlocks
data\dreadlocks\image160.jpg,Oval,dreadlocks
data\dreadlocks\image161.jpg,Oval,dreadlocks
data\dreadlocks\image162.jpg,Oval,dreadlocks
data\dreadlocks\image163.jpg,Oval,dreadlocks
data\dreadlocks\image164.jpg,Oblong,dreadlocks
data\dreadlocks\image165.jpg,Oval,dreadlocks
data\dreadlocks\image166.jpg,Oblong,dreadlocks
data\dreadlocks\image167.jpg,Oblong,dreadlocks
data\dreadlocks\image168.jpg,Oval,dreadlocks
data\dreadlocks\image169.jpg,Oval,dreadlocks
data\dreadlocks\image17.jpg,Oval,dreadlocks
data\dreadlocks\image170.jpg,Oval,dreadlocks
data\dreadlocks\image171.jpg,Oblong,dreadlocks
data\dreadlocks\image172.jpg,Round,dreadlocks
data\dreadlocks\image173.jpg,Oval,dreadlocks
data\dreadlocks\image174.jpg,Oblong,dreadlocks
data\dreadlocks\image175.jpg,Round,dreadlocks
data\dreadlocks\image176.jpg,Round,dreadlocks
data\dreadlocks\image18.jpg,Oblong,dreadlocks
data\dreadlocks\image182.jpg,Heart,dreadlocks
data\dreadlocks\image183.jpg,Oblong,dreadlocks
data\dreadlocks\image184.jpg,Round,dreadlocks
data\dreadlocks\image186.jpg,Heart,dreadlocks
data\dreadlocks\image187.jpg,Oblong,dreadlocks
data\dreadlocks\image188.jpg,Square,dreadlocks
data\dreadlocks\image189.jpg,Oval,dreadlocks
data\dreadlocks\image19.jpg,Oval,dreadlocks
data\dreadlocks\image190.jpg,Heart,dreadlocks
data\dreadlocks\image191.jpg,Oblong,dreadlocks
data\dreadlocks\image193.jpg,Oblong,dreadlocks
data\dreadlocks\image194.jpg,Oblong,dreadlocks
data\dreadlocks\image195.jpg,Oblong,dreadlocks
data\dreadlocks\image197.jpg,Oblong,dreadlocks
data\dreadlocks\image198.jpg,Oval,dreadlocks
data\dreadlocks\image2.jpg,Oblong,dreadlocks
data\dreadlocks\image20.jpg,Oval,dreadlocks
data\dreadlocks\image200.jpg,Oval,dreadlocks
data\dreadlocks\image201.jpg,Oval,dreadlocks
data\dreadlocks\image202.jpg,Oval,dreadlocks
data\dreadlocks\image203.jpg,Round,dreadlocks
data\dreadlocks\image206.jpg,Heart,dreadlocks
data\dreadlocks\image208.jpg,Oval,dreadlocks
data\dreadlocks\image209.jpg,Heart,dreadlocks
data\dreadlocks\image21.jpg,Oblong,dreadlocks
data\dreadlocks\image211.jpg,Oval,dreadlocks
data\dreadlocks\image212.jpg,Oblong,dreadlocks
data\dreadlocks\image213.jpg,Oval,dreadlocks
data\dreadlocks\image214.jpg,Oblong,dreadlocks
data\dreadlocks\image215.jpg,Square,dreadlocks
data\dreadlocks\image216.jpg,Oblong,dreadlocks
data\dreadlocks\image217.jpg,Round,dreadlocks
data\dreadlocks\image218.jpg,Heart,dreadlocks
data\dreadlocks\image219.jpg,Oval,dreadlocks
data\dreadlocks\image22.jpg,Oblong,dreadlocks
data\dreadlocks\image220.jpg,Heart,dreadlocks
data\dreadlocks\image221.jpg,Oval,dreadlocks
data\dreadlocks\image223.jpg,Round,dreadlocks
data\dreadlocks\image224.jpg,Square,dreadlocks
data\dreadlocks\image225.jpg,Oval,dreadlocks
data\dreadlocks\image226.jpg,Oblong,dreadlocks
data\dreadlocks\image228.jpg,Oblong,dreadlocks
data\dreadlocks\image229.jpg,Oblong,dreadlocks
data\dreadlocks\image23.jpg,Oblong,dreadlocks
data\dreadlocks\image230.jpg,Oblong,dreadlocks
data\dreadlocks\image231.jpg,Oblong,dreadlocks
data\dreadlocks\image232.jpg,Oval,dreadlocks
data\dreadlocks\image233.jpg,Oblong,dreadlocks
data\dreadlocks\image234.jpg,Oval,dreadlocks
data\dreadlocks\image235.jpg,Oblong,dreadlocks
data\dreadlocks\image236.jpg,Round,dreadlocks
data\dreadlocks\image237.jpg,Square,dreadlocks
data\dreadlocks\image238.jpg,Heart,dreadlocks
data\dreadlocks\image239.jpg,Oval,dreadlocks
data\dreadlocks\image240.jpg,Oblong,dreadlocks
data\dreadlocks\image242.jpg,Oval,dreadlocks
data\dreadlocks\image245.jpg,Round,dreadlocks
data\dreadlocks\image246.jpg,Oblong,dreadlocks
data\dreadlocks\image247.jpg,Heart,dreadlocks
data\dreadlocks\image248.jpg,Oval,dreadlocks
data\dreadlocks\image249.jpg,Oblong,dreadlocks
data\dreadlocks\image25.jpeg,Round,dreadlocks
data\dreadlocks\image25.jpg,Heart,dreadlocks
data\dreadlocks\image250.jpg,Heart,dreadlocks
data\dreadlocks\image251.jpg,Round,dreadlocks
data\dreadlocks\image252.jpg,Oval,dreadlocks
data\dreadlocks\image254.jpg,Heart,dreadlocks
data\dreadlocks\image255.jpg,Oblong,dreadlocks
data\dreadlocks\image256.jpg,Oval,dreadlocks
data\dreadlocks\image258.jpg,Heart,dreadlocks
data\dreadlocks\image259.jpg,Round,dreadlocks
data\dreadlocks\image26.jpg,Round,dreadlocks
data\dreadlocks\image260.jpg,Oval,dreadlocks
data\dreadlocks\image261.jpg,Oblong,dreadlocks
data\dreadlocks\image262.jpg,Oblong,dreadlocks
data\dreadlocks\image263.jpg,Oval,dreadlocks
data\dreadlocks\image265.jpg,Heart,dreadlocks
data\dreadlocks\image266.jpg,Oblong,dreadlocks
data\dreadlocks\image267.jpg,Round,dreadlocks
data\dreadlocks\image268.jpg,Oval,dreadlocks
data\dreadlocks\image269.jpg,Oblong,dreadlocks
data\dreadlocks\image27.jpg,Oval,dreadlocks
data\dreadlocks\image271.jpg,Oblong,dreadlocks
data\dreadlocks\image273.jpg,Round,dreadlocks
data\dreadlocks\image275.jpg,Round,dreadlocks
data\dreadlocks\image278.jpg,Oblong,dreadlocks
data\dreadlocks\image279.jpg,Oblong,dreadlocks
data\dreadlocks\image28.jpg,Round,dreadlocks
data\dreadlocks\image280.jpg,Oval,dreadlocks
data\dreadlocks\image281.jpg,Heart,dreadlocks
data\dreadlocks\image282.jpg,Oblong,dreadlocks
data\dreadlocks\image283.jpg,Oval,dreadlocks
data\dreadlocks\image284.jpg,Round,dreadlocks
data\dreadlocks\image285.jpg,Oblong,dreadlocks
data\dreadlocks\image286.jpg,Heart,dreadlocks
data\dreadlocks\image287.jpg,Oblong,dreadlocks
data\dreadlocks\image288.jpg,Round,dreadlocks
data\dreadlocks\image289.jpg,Oval,dreadlocks
data\dreadlocks\image29.jpg,Oblong,dreadlocks
data\dreadlocks\image290.jpg,Oval,dreadlocks
data\dreadlocks\image291.jpg,Oblong,dreadlocks
data\dreadlocks\image292.jpg,Oblong,dreadlocks
data\dreadlocks\image293.jpg,Oblong,dreadlocks
data\dreadlocks\image294.jpg,Oblong,dreadlocks
data\dreadlocks\image295.jpg,Oval,dreadlocks
data\dreadlocks\image296.jpg,Oval,dreadlocks
data\dreadlocks\image297.jpg,Heart,dreadlocks
data\dreadlocks\image298.jpg,Oval,dreadlocks
data\dreadlocks\image299.jpg,Round,dreadlocks
data\dreadlocks\image3.jpg,Oval,dreadlocks
data\dreadlocks\image30.jpg,Square,dreadlocks
data\dreadlocks\image300.jpg,Oval,dreadlocks
data\dreadlocks\image302.jpg,Oblong,dreadlocks
data\dreadlocks\image303.jpg,Square,dreadlocks
data\dreadlocks\image304.jpg,Oblong,dreadlocks
data\dreadlocks\image305.jpg,Oblong,dreadlocks
data\dreadlocks\image306.jpg,Heart,dreadlocks
data\dreadlocks\image307.jpg,Oblong,dreadlocks
data\dreadlocks\image308.jpg,Square,dreadlocks
data\dreadlocks\image309.jpg,Oblong,dreadlocks
data\dreadlocks\image31.jpeg,Square,dreadlocks
data\dreadlocks\image31.jpg,Oval,dreadlocks
data\dreadlocks\image310.jpg,Oblong,dreadlocks
data\dreadlocks\image312.jpg,Oblong,dreadlocks
data\dreadlocks\image313.jpg,Oblong,dreadlocks
data\dreadlocks\image314.jpg,Oblong,dreadlocks
data\dreadlocks\image315.jpg,Oval,dreadlocks
data\dreadlocks\image317.jpg,Oblong,dreadlocks
data\dreadlocks\image318.jpg,Square,dreadlocks
data\dreadlocks\image319.jpg,Oval,dreadlocks
data\dreadlocks\image32.jpeg,Oblong,dreadlocks
data\dreadlocks\image32.jpg,Heart,dreadlocks
data\dreadlocks\image320.jpg,Round,dreadlocks
data\dreadlocks\image321.jpg,Oval,dreadlocks
data\dreadlocks\image322.jpg,Heart,dreadlocks
data\dreadlocks\image323.jpg,Oblong,dreadlocks
data\dreadlocks\image324.jpg,Oblong,dreadlocks
data\dreadlocks\image325.jpg,Heart,dreadlocks
data\dreadlocks\image326.jpg,Oblong,dreadlocks
data\dreadlocks\image327.jpg,Square,dreadlocks
data\dreadlocks\image328.jpg,Oblong,dreadlocks
data\dreadlocks\image33.jpg,Oblong,dreadlocks
data\dreadlocks\image330.jpg,Round,dreadlocks
data\dreadlocks\image331.jpg,Oval,dreadlocks
data\dreadlocks\image333.jpg,Oval,dreadlocks
data\dreadlocks\image334.jpg,Heart,dreadlocks
data\dreadlocks\image335.jpg,Oblong,dreadlocks
data\dreadlocks\image336.jpg,Oblong,dreadlocks
data\dreadlocks\image339.jpg,Oblong,dreadlocks
data\dreadlocks\image34.jpg,Oval,dreadlocks
data\dreadlocks\image340.jpg,Round,dreadlocks
data\dreadlocks\image341.jpg,Square,dreadlocks
data\dreadlocks\image3411.jpg,Oval,dreadlocks
data\dreadlocks\image343.jpg,Oblong,dreadlocks
data\dreadlocks\image344.jpg,Oblong,dreadlocks
data\dreadlocks\image345.jpg,Heart,dreadlocks
data\dreadlocks\image346.jpg,Oblong,dreadlocks
data\dreadlocks\image347.jpg,Oblong,dreadlocks
data\dreadlocks\image349.jpg,Oblong,dreadlocks
data\dreadlocks\image35.jpg,Heart,dreadlocks
data\dreadlocks\image350.jpg,Oblong,dreadlocks
data\dreadlocks\image351.jpg,Oblong,dreadlocks
data\dreadlocks\image352.jpg,Oblong,dreadlocks
data\dreadlocks\image353.jpg,Square,dreadlocks
data\dreadlocks\image355.jpg,Oval,dreadlocks
data\dreadlocks\image356.jpg,Heart,dreadlocks
data\dreadlocks\image357.jpg,Oval,dreadlocks
data\dreadlocks\image359.jpg,Oblong,dreadlocks
data\dreadlocks\image35_1.jpg,Round,dreadlocks
data\dreadlocks\image36.jpg,Heart,dreadlocks
data\dreadlocks\image37.jpg,Oblong,dreadlocks
data\dreadlocks\image38.jpg,Oval,dreadlocks
data\dreadlocks\image39.jpg,Round,dreadlocks
data\dreadlocks\image4.jpg,Oblong,dreadlocks
data\dreadlocks\image40.jpg,Square,dreadlocks
data\dreadlocks\image41.jpg,Oblong,dreadlocks
data\dreadlocks\image42.jpg,Heart,dreadlocks
data\dreadlocks\image43.jpg,Heart,dreadlocks
data\dreadlocks\image44.jpg,Oval,dreadlocks
data\dreadlocks\image47.jpg,Oblong,dreadlocks
data\dreadlocks\image48.jpg,Round,dreadlocks
data\dreadlocks\image49.jpg,Oblong,dreadlocks
data\dreadlocks\image5.jpg,Heart,dreadlocks
data\dreadlocks\image50.jpg,Oblong,dreadlocks
data\dreadlocks\image51.jpg,Oblong,dreadlocks
data\dreadlocks\image54.jpg,Oblong,dreadlocks
data\dreadlocks\image55.jpg,Oblong,dreadlocks
data\dreadlocks\image58.jpg,Oval,dreadlocks
data\dreadlocks\image59.jpg,Round,dreadlocks
data\dreadlocks\image60.jpg,Oblong,dreadlocks
data\dreadlocks\image61.jpg,Round,dreadlocks
data\dreadlocks\image62.jpg,Oblong,dreadlocks
data\dreadlocks\image64.jpg,Oblong,dreadlocks
data\dreadlocks\image65.jpg,Round,dreadlocks
data\dreadlocks\image66.jpg,Heart,dreadlocks
data\dreadlocks\image67.jpg,Oval,dreadlocks
data\dreadlocks\image68.jpg,Heart,dreadlocks
data\dreadlocks\image69.jpg,Oblong,dreadlocks
data\dreadlocks\image7.jpg,Round,dreadlocks
data\dreadlocks\image70.jpg,Square,dreadlocks
data\dreadlocks\image71.jpg,Oval,dreadlocks
data\dreadlocks\image71_1.jpg,Oblong,dreadlocks
data\dreadlocks\image72.jpg,Oblong,dreadlocks
data\dreadlocks\image73.jpg,Heart,dreadlocks
data\dreadlocks\image74.jpg,Heart,dreadlocks
data\dreadlocks\image75.jpg,Oval,dreadlocks
data\dreadlocks\image76.jpg,Square,dreadlocks
data\dreadlocks\image77.jpg,Oval,dreadlocks
data\dreadlocks\image78.jpg,Heart,dreadlocks
data\dreadlocks\image79.jpg,Round,dreadlocks
data\dreadlocks\image8.jpg,Oblong,dreadlocks
data\dreadlocks\image80.jpg,Oval,dreadlocks
data\dreadlocks\image83.jpg,Oblong,dreadlocks
data\dreadlocks\image84.jpg,Round,dreadlocks
data\dreadlocks\image85.jpg,Round,dreadlocks
data\dreadlocks\image87.jpg,Round,dreadlocks
data\dreadlocks\image89.jpg,Heart,dreadlocks
data\dreadlocks\image9.jpg,Oblong,dreadlocks
data\dreadlocks\image91.jpg,Oblong,dreadlocks
data\dreadlocks\image92.jpg,Oval,dreadlocks
data\dreadlocks\image92_1.jpg,Oval,dreadlocks
data\dreadlocks\image93.jpg,Oblong,dreadlocks
data\dreadlocks\image94.jpg,Round,dreadlocks
data\dreadlocks\image96.jpg,Square,dreadlocks
data\dreadlocks\image98.jpg,Oblong,dreadlocks
data\dreadlocks\images100.jpg,Round,dreadlocks
data\dreadlocks\images106.jpg,Oval,dreadlocks
data\dreadlocks\images109.jpg,Oval,dreadlocks
data\dreadlocks\images11.jpg,Square,dreadlocks
data\dreadlocks\images114.jpg,Oblong,dreadlocks
data\dreadlocks\images123.jpg,Round,dreadlocks
data\dreadlocks\images13.jpg,Oval,dreadlocks
data\dreadlocks\images134.jpg,Oblong,dreadlocks
data\dreadlocks\images135.jpg,Oblong,dreadlocks
data\dreadlocks\images136.jpg,Heart,dreadlocks
data\dreadlocks\images138.jpg,Oblong,dreadlocks
data\dreadlocks\images139.jpg,Oval,dreadlocks
data\dreadlocks\images140.jpg,Oval,dreadlocks
data\dreadlocks\images141.jpg,Oval,dreadlocks
data\dreadlocks\images142.jpg,Oval,dreadlocks
data\dreadlocks\images143.jpg,Round,dreadlocks
data\dreadlocks\images145.jpg,Oval,dreadlocks
data\dreadlocks\images150.jpg,Square,dreadlocks
data\dreadlocks\images152.jpg,Round,dreadlocks
data\dreadlocks\images153.jpg,Oblong,dreadlocks
data\dreadlocks\images155.jpg,Square,dreadlocks
data\dreadlocks\images156.jpg,Round,dreadlocks
data\dreadlocks\images157.jpg,Oval,dreadlocks
data\dreadlocks\images158.jpg,Square,dreadlocks
data\dreadlocks\images160.jpg,Square,dreadlocks
data\dreadlocks\images161.jpg,Oval,dreadlocks
data\dreadlocks\images162.jpg,Oval,dreadlocks
data\dreadlocks\images164.jpg,Oval,dreadlocks
data\dreadlocks\images165.jpg,Square,dreadlocks
data\dreadlocks\images166.jpg,Oval,dreadlocks
data\dreadlocks\images167.jpg,Oblong,dreadlocks
data\dreadlocks\images168.jpg,Round,dreadlocks
data\dreadlocks\images18.jpg,Heart,dreadlocks
data\dreadlocks\images19.jpg,Oval,dreadlocks
data\dreadlocks\images23.jpg,Oval,dreadlocks
data\dreadlocks\images27.jpg,Round,dreadlocks
data\dreadlocks\images3.jpg,Round,dreadlocks
data\dreadlocks\images38.jpg,Round,dreadlocks
data\dreadlocks\images4.jpg,Round,dreadlocks
data\dreadlocks\images42.jpg,Oblong,dreadlocks
data\dreadlocks\images43.jpg,Oblong,dreadlocks
data\dreadlocks\images44.jpg,Round,dreadlocks
data\dreadlocks\images5.jpg,Oblong,dreadlocks
data\dreadlocks\images50.jpg,Square,dreadlocks
data\dreadlocks\images59.jpg,Heart,dreadlocks
data\dreadlocks\images6.jpg,Oval,dreadlocks
data\dreadlocks\images69.jpg,Square,dreadlocks
data\dreadlocks\images7.jpg,Oval,dreadlocks
data\dreadlocks\images70.jpg,Oval,dreadlocks
data\dreadlocks\images8.jpg,Oval,dreadlocks
data\dreadlocks\images84.jpg,Round,dreadlocks
data\dreadlocks\images87.jpg,Oval,dreadlocks
data\dreadlocks\images88.jpg,Round,dreadlocks
data\dreadlocks\images9.jpg,Oblong,dreadlocks
data\dreadlocks\images90.jpg,Oblong,dreadlocks
data\dreadlocks\images91.jpg,Oblong,dreadlocks
data\dreadlocks\images98.jpg,Square,dreadlocks
data\dreadlocks\image_29494ec039.png,Oval,dreadlocks
data\dreadlocks\locks-naturels.jpg,Oblong,dreadlocks
data\dreadlocks\main-crowndreadlocks.jpg,Round,dreadlocks
data\dreadlocks\Man_with_tatoos_showing_his_Style_of_his_Dreadlockss_1024x1024.jpg,Oblong,dreadlocks
data\dreadlocks\maxresdefault.jpg,Oval,dreadlocks
data\dreadlocks\Melanin20Edit20Locs204.jpg,Heart,dreadlocks
data\dreadlocks\ndmade-Dreadlocks-Hair-Extensions-For-Women-Ombre-Dreadlocks-Braidis-Crochet.jpg,Round,dreadlocks
data\dreadlocks\NO_MORE.jpg,Oblong,dreadlocks
data\dreadlocks\Olive-Telma-Kweberaho-shows-her-natural-dreads.jpg,Oblong,dreadlocks
data\dreadlocks\origin.jpg,Oblong,dreadlocks
data\dreadlocks\pexels-jacob-pilatoe-4655238-scaled-e1646909021186.jpg,Round,dreadlocks
data\dreadlocks\pexels-photo-2698935.jpeg,Round,dreadlocks
data\dreadlocks\pexels-photo-3228904.jpeg,Heart,dreadlocks
data\dreadlocks\photo-1625536658395-2bd89a631e37.jpeg,Oval,dreadlocks
data\dreadlocks\portrait-of-a-handsome-black-man-with-long-dreadlocks-2M6TCF8.jpg,Oblong,dreadlocks
data\dreadlocks\portrait-young-man-with-afro-dreadlocks-jacket_23-2149451603.jpg,Oval,dreadlocks
data\dreadlocks\Poundmaker.png,Oblong,dreadlocks
data\dreadlocks\Remettre-ses-dreadlocks-scaled.jpg,Oblong,dreadlocks
data\dreadlocks\Removing-Dreadlocks.jpeg,Oblong,dreadlocks
data\dreadlocks\rihanna-as-nine-ball-in-oceans-8-1528105039.jpg,Heart,dreadlocks
data\dreadlocks\sept-2020-how-to-care-for-locs.jpg,Square,dreadlocks
data\dreadlocks\sheer-elegance-model-2.jpg,Oval,dreadlocks
data\dreadlocks\Short-Dreadlocks_he_blasian_sensation_channel.jpg,Oval,dreadlocks
data\dreadlocks\shutterstock_1516801229_d5570f892b.jpg,Oval,dreadlocks
data\dreadlocks\tp-dreadlocks-men.jpg,Oval,dreadlocks
data\dreadlocks\Twist-And-Rip-Method.jpg,Oblong,dreadlocks
data\dreadlocks\ty-dolla-sign-dreadlocks-862x1024.jpg,Oval,dreadlocks
data\dreadlocks\What-Are-Dreadlocks-How-To-Make-Dreadlocks-Maintenance-And-Tips-1.jpg,Square,dreadlocks
data\dreadlocks\what-to-know-locs-hairstyle.jpg,Oblong,dreadlocks
data\dreadlocks\whoopi-goldberg-dreadlocks.jpg,Oval,dreadlocks
data\dreadlocks\woman-long-dreadlocks-scaled.jpg,Round,dreadlocks
data\dreadlocks\_dreadlocks-tout.jpg,Heart,dreadlocks
data\kinky\011b913aca7afbdd7feb6cdd4481b3bf4.jpg,Oblong,kinky
data\kinky\037f2da43c5f2c5be1e462ca5aad1c43.jpg,Round,kinky
data\kinky\057656ef97f71b87e933f8608e3e1f7b.jpg,Oblong,kinky
data\kinky\07.13_blog_dry_curly_hair-1024x410.jpg,Oblong,kinky
data\kinky\0c371e87183918327339725daef22cb9.jpg,Oblong,kinky
data\kinky\0f6e4c795377e1b68683ad14b6243caa.jpg,Oval,kinky
data\kinky\15f9a9cb66e78eedc69a162707bd1e4e.jpg,Round,kinky
data\kinky\1b1d1633f04af709224e84c4c431dc99.jpg,Round,kinky
data\kinky\1D4BEE15-858B-4699-B070-55B9B1D6000B2x.jpg,Round,kinky
data\kinky\26d24ffb167bf8cad53a1d894329f00f.jpg,Round,kinky
data\kinky\3d7c944ddfb1d70306163343458ec68e4.jpg,Oblong,kinky
data\kinky\46e0a51134132c76afcadc4363f4412e.jpg,Oblong,kinky
data\kinky\4a4e73a7e0f6fed7e2f6c7277c5ef03f.jpg,Oval,kinky
data\kinky\5-Tips-to-get-Healthy-Kinky-Curly-Hair.jpg,Round,kinky
data\kinky\59a29209076d29d2a812dbb02b04b3604.jpg,Oval,kinky
data\kinky\59c5de9754e7930b06ab415297b65cbc10.jpg,Round,kinky
data\kinky\653d7e3e2155890a898d46c65c5ba948.jpg,Square,kinky
data\kinky\7d58c72c848ec85b706637f1aa0775694.jpg,Oval,kinky
data\kinky\95369E96-F9B9-40EF-8ABB-4EC211E9A937.jpeg,Round,kinky
